Gene Symbol,Description,Ensembl ID,Entrez ID,Vision,Auditory,Olfactory,Touch,Gene_hgnc
NPAS4,Neuronal PAS Domain Protein 4,ENSG00000174576,266743,no,no,yes,no,NPAS4
NPC1,NPC Intracellular Cholesterol Transporter 1,ENSG00000141458,4864,yes,yes,yes,yes,NPC1
NPHP1,Nephrocystin 1,ENSG00000144061,4867,yes,yes,yes,no,NPHP1
NPVF,Neuropeptide VF Precursor,ENSG00000105954,64111,no,no,yes,no,NPVF
NR4A2,Nuclear Receptor Subfamily 4 Group A Member 2,ENSG00000153234,4929,yes,yes,yes,yes,NR4A2
NR5A1,Nuclear Receptor Subfamily 5 Group A Member 1,ENSG00000136931,2516,yes,yes,yes,no,NR5A1
NRAS,"NRAS Proto-Oncogene, GTPase",ENSG00000213281,4893,yes,yes,yes,no,NRAS
NRCAM,Neuronal Cell Adhesion Molecule,ENSG00000091129,4897,yes,yes,yes,no,NRCAM
NRIP3,Nuclear Receptor Interacting Protein 3,ENSG00000175352,56675,no,no,yes,no,NRIP3
NRL,Neural Retina Leucine Zipper,ENSG00000129535,4901,yes,yes,yes,no,NRL
NRTN,Neurturin,ENSG00000171119,4902,no,no,yes,no,NRTN
NSF,"N-Ethylmaleimide Sensitive Factor, Vesicle Fusing ATPase",ENSG00000073969,4905,no,no,yes,no,NSF
NSMCE4A,"NSE4 Homolog A, SMC5-SMC6 Complex Component",ENSG00000107672,54780,no,no,yes,no,NSMCE4A
NSMF,NMDA Receptor Synaptonuclear Signaling And Neuronal Migration Factor,ENSG00000165802,26012,yes,yes,yes,no,NSMF
NT5DC3,5'-Nucleotidase Domain Containing 3,ENSG00000111696,51559,no,no,yes,no,NT5DC3
NTN1,Netrin 1,ENSG00000065320,9423,yes,no,yes,no,NTN1
NTN4,Netrin 4,ENSG00000074527,59277,no,no,yes,no,NTN4
NTRK1,Neurotrophic Receptor Tyrosine Kinase 1,ENSG00000198400,4914,yes,yes,yes,yes,NTRK1
NTRK2,Neurotrophic Receptor Tyrosine Kinase 2,ENSG00000148053,4915,yes,no,yes,no,NTRK2
NUTM2A,NUT Family Member 2A,ENSG00000184923,728118,no,no,yes,no,NUTM2A
NXNL2,Nucleoredoxin Like 2,ENSG00000130045,158046,yes,no,yes,no,NXNL2
OBP2A,Odorant Binding Protein 2A,ENSG00000122136,29991,no,no,yes,no,OBP2A
OBP2B,Odorant Binding Protein 2B,ENSG00000171102,29989,no,no,yes,no,OBP2B
OLFM1,Olfactomedin 1,ENSG00000130558,10439,yes,no,yes,no,OLFM1
OLIG2,Oligodendrocyte Transcription Factor 2,ENSG00000205927,10215,no,no,yes,no,OLIG2
OMP,Olfactory Marker Protein,ENSG00000254550,4975,no,no,yes,no,OMP
OPCML,Opioid Binding Protein/Cell Adhesion Molecule Like,ENSG00000183715,4978,no,no,yes,no,OPCML
OPRD1,Opioid Receptor Delta 1,ENSG00000116329,4985,no,no,yes,no,OPRD1
OPTN,Optineurin,ENSG00000123240,10133,yes,no,yes,no,OPTN
OR10A2,Olfactory Receptor Family 10 Subfamily A Member 2,ENSG00000170790,341276,no,no,yes,no,OR10A2
OR10A3,Olfactory Receptor Family 10 Subfamily A Member 3,ENSG00000170683,26496,no,no,yes,no,OR10A3
OR10A4,Olfactory Receptor Family 10 Subfamily A Member 4,ENSG00000170782,283297,no,no,yes,no,OR10A4
OR10A5,Olfactory Receptor Family 10 Subfamily A Member 5,ENSG00000166363,144124,no,no,yes,no,OR10A5
OR10A6,Olfactory Receptor Family 10 Subfamily A Member 6 (Gene/Pseudogene),ENSG00000279000,390093,no,no,yes,no,OR10A6
OR10A7,Olfactory Receptor Family 10 Subfamily A Member 7,ENSG00000179919,121364,no,no,yes,no,OR10A7
OR10AD1,Olfactory Receptor Family 10 Subfamily AD Member 1,ENSG00000172640,121275,no,no,yes,no,OR10AD1
OR10AG1,Olfactory Receptor Family 10 Subfamily AG Member 1,ENSG00000174970,282770,no,no,yes,no,OR10AG1
OR10C1,Olfactory Receptor Family 10 Subfamily C Member 1,ENSG00000206474,442194,no,no,yes,no,OR10C1
OR10D3,Olfactory Receptor Family 10 Subfamily D Member 3,ENSG00000197309,26497,no,no,yes,no,OR10D3
OR10G2,Olfactory Receptor Family 10 Subfamily G Member 2,ENSG00000255582,26534,no,no,yes,no,OR10G2
OR10G3,Olfactory Receptor Family 10 Subfamily G Member 3,ENSG00000169208,26533,no,no,yes,no,OR10G3
OR10G4,Olfactory Receptor Family 10 Subfamily G Member 4,ENSG00000254737,390264,no,no,yes,no,OR10G4
OR10G7,Olfactory Receptor Family 10 Subfamily G Member 7,ENSG00000182634,390265,no,no,yes,no,OR10G7
OR10G8,Olfactory Receptor Family 10 Subfamily G Member 8,ENSG00000234560,219869,no,no,yes,no,OR10G8
OR10G9,Olfactory Receptor Family 10 Subfamily G Member 9,ENSG00000236981,219870,no,no,yes,no,OR10G9
OR10H1,Olfactory Receptor Family 10 Subfamily H Member 1,ENSG00000186723,26539,no,no,yes,no,OR10H1
OR10H2,Olfactory Receptor Family 10 Subfamily H Member 2,ENSG00000171942,26538,no,no,yes,no,OR10H2
OR10H3,Olfactory Receptor Family 10 Subfamily H Member 3,ENSG00000171936,26532,no,no,yes,no,OR10H3
OR10H4,Olfactory Receptor Family 10 Subfamily H Member 4,ENSG00000176231,126541,no,no,yes,no,OR10H4
OR10H5,Olfactory Receptor Family 10 Subfamily H Member 5,ENSG00000172519,284433,no,no,yes,no,OR10H5
OR10J1,Olfactory Receptor Family 10 Subfamily J Member 1,ENSG00000196184,26476,no,no,yes,no,OR10J1
OR10J5,Olfactory Receptor Family 10 Subfamily J Member 5,ENSG00000184155,127385,no,no,yes,no,OR10J5
OR10K1,Olfactory Receptor Family 10 Subfamily K Member 1,ENSG00000173285,391109,no,no,yes,no,OR10K1
OR10K2,Olfactory Receptor Family 10 Subfamily K Member 2,ENSG00000180708,391107,no,no,yes,no,OR10K2
OR10P1,Olfactory Receptor Family 10 Subfamily P Member 1,ENSG00000175398,121130,no,no,yes,no,OR10P1
OR10Q1,Olfactory Receptor Family 10 Subfamily Q Member 1,ENSG00000180475,219960,no,no,yes,no,OR10Q1
OR10R2,Olfactory Receptor Family 10 Subfamily R Member 2,ENSG00000198965,343406,no,no,yes,no,OR10R2
OR10S1,Olfactory Receptor Family 10 Subfamily S Member 1,ENSG00000196248,219873,no,no,yes,no,OR10S1
OR10T2,Olfactory Receptor Family 10 Subfamily T Member 2,ENSG00000186306,128360,no,no,yes,no,OR10T2
OR10V1,Olfactory Receptor Family 10 Subfamily V Member 1,ENSG00000172289,390201,no,no,yes,no,OR10V1
OR10W1,Olfactory Receptor Family 10 Subfamily W Member 1,ENSG00000172772,81341,no,no,yes,no,OR10W1
OR10Z1,Olfactory Receptor Family 10 Subfamily Z Member 1,ENSG00000198967,128368,no,no,yes,no,OR10Z1
OR11A1,Olfactory Receptor Family 11 Subfamily A Member 1,ENSG00000204694,26531,no,no,yes,no,OR11A1
OR11G2,Olfactory Receptor Family 11 Subfamily G Member 2,ENSG00000196832,390439,no,no,yes,no,OR11G2
OR11H1,Olfactory Receptor Family 11 Subfamily H Member 1,ENSG00000130538,81061,no,no,yes,no,OR11H1
OR11H4,Olfactory Receptor Family 11 Subfamily H Member 4,ENSG00000176198,390442,no,no,yes,no,OR11H4
OR11H6,Olfactory Receptor Family 11 Subfamily H Member 6,ENSG00000176219,122748,no,no,yes,no,OR11H6
OR11L1,Olfactory Receptor Family 11 Subfamily L Member 1,ENSG00000197591,391189,no,no,yes,no,OR11L1
OR12D3,Olfactory Receptor Family 12 Subfamily D Member 3,ENSG00000112462,81797,no,no,yes,no,OR12D3
OR13A1,Olfactory Receptor Family 13 Subfamily A Member 1,ENSG00000256574,79290,no,no,yes,no,OR13A1
OR13C2,Olfactory Receptor Family 13 Subfamily C Member 2,ENSG00000276119,392376,no,no,yes,no,OR13C2
OR13C3,Olfactory Receptor Family 13 Subfamily C Member 3,ENSG00000204246,138803,no,no,yes,no,OR13C3
OR13C4,Olfactory Receptor Family 13 Subfamily C Member 4,ENSG00000148136,138804,no,no,yes,no,OR13C4
OR13C8,Olfactory Receptor Family 13 Subfamily C Member 8,ENSG00000186943,138802,no,no,yes,no,OR13C8
OR13C9,Olfactory Receptor Family 13 Subfamily C Member 9,ENSG00000136839,286362,no,no,yes,no,OR13C9
OR13D1,Olfactory Receptor Family 13 Subfamily D Member 1,ENSG00000179055,286365,no,no,yes,no,OR13D1
OR13F1,Olfactory Receptor Family 13 Subfamily F Member 1,ENSG00000186881,138805,no,no,yes,no,OR13F1
OR13G1,Olfactory Receptor Family 13 Subfamily G Member 1,ENSG00000197437,441933,no,no,yes,no,OR13G1
OR13J1,Olfactory Receptor Family 13 Subfamily J Member 1,ENSG00000168828,392309,no,no,yes,no,OR13J1
OR14J1,Olfactory Receptor Family 14 Subfamily J Member 1,ENSG00000204695,442191,no,no,yes,no,OR14J1
OR1A1,Olfactory Receptor Family 1 Subfamily A Member 1,ENSG00000172146,8383,no,no,yes,no,OR1A1
OR1A2,Olfactory Receptor Family 1 Subfamily A Member 2,ENSG00000172150,26189,no,no,yes,no,OR1A2
OR1C1,Olfactory Receptor Family 1 Subfamily C Member 1,ENSG00000221888,26188,no,no,yes,no,OR1C1
OR1D2,Olfactory Receptor Family 1 Subfamily D Member 2,ENSG00000184166,4991,no,no,yes,no,OR1D2
OR1D5,Olfactory Receptor Family 1 Subfamily D Member 5,ENSG00000262628,8386,no,no,yes,no,OR1D5
OR1E1,Olfactory Receptor Family 1 Subfamily E Member 1,ENSG00000180016,8387,no,no,yes,no,OR1E1
OR1E2,Olfactory Receptor Family 1 Subfamily E Member 2,ENSG00000127780,8388,yes,no,yes,no,OR1E2
OR1F1,Olfactory Receptor Family 1 Subfamily F Member 1,ENSG00000168124,4992,no,no,yes,no,OR1F1
OR1G1,Olfactory Receptor Family 1 Subfamily G Member 1,ENSG00000183024,8390,no,no,yes,no,OR1G1
OR1I1,Olfactory Receptor Family 1 Subfamily I Member 1,ENSG00000094661,126370,no,no,yes,no,OR1I1
OR1J1,Olfactory Receptor Family 1 Subfamily J Member 1,ENSG00000136834,347168,no,no,yes,no,OR1J1
OR1J2,Olfactory Receptor Family 1 Subfamily J Member 2,ENSG00000197233,26740,no,no,yes,no,OR1J2
OR1J4,Olfactory Receptor Family 1 Subfamily J Member 4,ENSG00000239590,26219,no,no,yes,no,OR1J4
OR1K1,Olfactory Receptor Family 1 Subfamily K Member 1,ENSG00000165204,392392,no,no,yes,no,OR1K1
OR1L1,Olfactory Receptor Family 1 Subfamily L Member 1,ENSG00000173679,26737,no,no,yes,no,OR1L1
OR1L3,Olfactory Receptor Family 1 Subfamily L Member 3,ENSG00000171481,26735,no,no,yes,no,OR1L3
OR1L4,Olfactory Receptor Family 1 Subfamily L Member 4,ENSG00000136939,254973,no,no,yes,no,OR1L4
OR1L6,Olfactory Receptor Family 1 Subfamily L Member 6,ENSG00000171459,392390,no,no,yes,no,OR1L6
OR1L8,Olfactory Receptor Family 1 Subfamily L Member 8,ENSG00000171496,138881,no,no,yes,no,OR1L8
OR1N2,Olfactory Receptor Family 1 Subfamily N Member 2,ENSG00000171501,138882,no,no,yes,no,OR1N2
OR1Q1,Olfactory Receptor Family 1 Subfamily Q Member 1,ENSG00000165202,158131,no,no,yes,no,OR1Q1
OR1S1,Olfactory Receptor Family 1 Subfamily S Member 1,ENSG00000280204,219959,no,no,yes,no,OR1S1
OR1S2,Olfactory Receptor Family 1 Subfamily S Member 2,ENSG00000197887,219958,no,no,yes,no,OR1S2
OR2A1,Olfactory Receptor Family 2 Subfamily A Member 1,ENSG00000221970,346528,no,no,yes,no,OR2A1
OR2A12,Olfactory Receptor Family 2 Subfamily A Member 12,ENSG00000221858,346525,no,no,yes,no,OR2A12
OR2A14,Olfactory Receptor Family 2 Subfamily A Member 14,ENSG00000221938,135941,no,no,yes,no,OR2A14
OR2A2,Olfactory Receptor Family 2 Subfamily A Member 2,ENSG00000221989,442361,no,no,yes,no,OR2A2
OR2A25,Olfactory Receptor Family 2 Subfamily A Member 25,ENSG00000221933,392138,no,no,yes,no,OR2A25
OR2A4,Olfactory Receptor Family 2 Subfamily A Member 4,ENSG00000180658,79541,no,no,yes,no,OR2A4
OR2A42,Olfactory Receptor Family 2 Subfamily A Member 42,ENSG00000212807,402317,no,no,yes,no,OR2A42
OR2A5,Olfactory Receptor Family 2 Subfamily A Member 5,ENSG00000221836,393046,no,no,yes,no,OR2A5
OR2A7,Olfactory Receptor Family 2 Subfamily A Member 7,ENSG00000243896,401427,no,no,yes,no,OR2A7
OR2AE1,Olfactory Receptor Family 2 Subfamily AE Member 1,ENSG00000244623,81392,no,no,yes,no,OR2AE1
OR2AG2,Olfactory Receptor Family 2 Subfamily AG Member 2,ENSG00000188124,338755,no,no,yes,no,OR2AG2
OR2AJ1,Olfactory Receptor Family 2 Subfamily AJ Member 1,ENSG00000177275,127608,no,no,yes,no,OR2AJ1
OR2AP1,Olfactory Receptor Family 2 Subfamily AP Member 1,ENSG00000179615,121129,no,no,yes,no,OR2AP1
OR2AT4,Olfactory Receptor Family 2 Subfamily AT Member 4,ENSG00000171561,341152,no,no,yes,no,OR2AT4
OR2B11,Olfactory Receptor Family 2 Subfamily B Member 11,ENSG00000177535,127623,no,no,yes,no,OR2B11
OR2B2,Olfactory Receptor Family 2 Subfamily B Member 2,ENSG00000168131,81697,no,no,yes,no,OR2B2
OR2B3,Olfactory Receptor Family 2 Subfamily B Member 3,ENSG00000204703,442184,no,no,yes,no,OR2B3
OR2B6,Olfactory Receptor Family 2 Subfamily B Member 6,ENSG00000124657,26212,no,no,yes,no,OR2B6
OR2C1,Olfactory Receptor Family 2 Subfamily C Member 1,ENSG00000168158,4993,no,no,yes,no,OR2C1
OR2C3,Olfactory Receptor Family 2 Subfamily C Member 3,ENSG00000196242,81472,no,no,yes,no,OR2C3
OR2D2,Olfactory Receptor Family 2 Subfamily D Member 2,ENSG00000166368,120776,no,no,yes,no,OR2D2
OR2D3,Olfactory Receptor Family 2 Subfamily D Member 3,ENSG00000178358,120775,no,no,yes,no,OR2D3
OR2F1,Olfactory Receptor Family 2 Subfamily F Member 1,ENSG00000213215,26211,no,no,yes,no,OR2F1
OR2F2,Olfactory Receptor Family 2 Subfamily F Member 2,ENSG00000221910,135948,no,no,yes,no,OR2F2
OR2G2,Olfactory Receptor Family 2 Subfamily G Member 2,ENSG00000177489,81470,no,no,yes,no,OR2G2
OR2G3,Olfactory Receptor Family 2 Subfamily G Member 3,ENSG00000177476,81469,no,no,yes,no,OR2G3
OR2G6,Olfactory Receptor Family 2 Subfamily G Member 6,ENSG00000188558,391211,no,no,yes,no,OR2G6
OR2H1,Olfactory Receptor Family 2 Subfamily H Member 1,ENSG00000204688,26716,no,no,yes,no,OR2H1
OR2H2,Olfactory Receptor Family 2 Subfamily H Member 2,ENSG00000204657,7932,no,no,yes,no,OR2H2
OR2J1,Olfactory Receptor Family 2 Subfamily J Member 1,ENSG00000204702,442185,no,no,yes,no,OR2J1
OR2J2,Olfactory Receptor Family 2 Subfamily J Member 2,ENSG00000204700,26707,no,no,yes,no,OR2J2
OR2J3,Olfactory Receptor Family 2 Subfamily J Member 3,ENSG00000204701,442186,no,no,yes,no,OR2J3
OR2K2,Olfactory Receptor Family 2 Subfamily K Member 2,ENSG00000171133,26248,no,no,yes,no,OR2K2
OR2L13,Olfactory Receptor Family 2 Subfamily L Member 13,ENSG00000196071,284521,no,no,yes,no,OR2L13
OR2M4,Olfactory Receptor Family 2 Subfamily M Member 4,ENSG00000171180,26245,no,no,yes,no,OR2M4
OR2T1,Olfactory Receptor Family 2 Subfamily T Member 1,ENSG00000175143,26696,no,no,yes,no,OR2T1
OR2T10,Olfactory Receptor Family 2 Subfamily T Member 10,ENSG00000184022,127069,no,no,yes,no,OR2T10
OR2T2,Olfactory Receptor Family 2 Subfamily T Member 2,ENSG00000196240,401992,no,no,yes,no,OR2T2
OR2T27,Olfactory Receptor Family 2 Subfamily T Member 27,ENSG00000187701,403239,no,no,yes,no,OR2T27
OR2T29,Olfactory Receptor Family 2 Subfamily T Member 29,ENSG00000182783,343563,no,no,yes,no,OR2T29
OR2T33,Olfactory Receptor Family 2 Subfamily T Member 33,ENSG00000177212,391195,no,no,yes,no,OR2T33
OR2T35,Olfactory Receptor Family 2 Subfamily T Member 35 (Gene/Pseudogene),ENSG00000177151,403244,no,no,yes,no,OR2T35
OR2T4,Olfactory Receptor Family 2 Subfamily T Member 4,ENSG00000196944,127074,no,no,yes,no,OR2T4
OR2T5,Olfactory Receptor Family 2 Subfamily T Member 5,ENSG00000203661,401993,no,no,yes,no,OR2T5
OR2T6,Olfactory Receptor Family 2 Subfamily T Member 6,ENSG00000198104,254879,no,no,yes,no,OR2T6
OR2T7,Olfactory Receptor Family 2 Subfamily T Member 7 (Gene/Pseudogene),ENSG00000227152,81458,no,no,yes,no,OR2T7
OR2V1,Olfactory Receptor Family 2 Subfamily V Member 1,ENSG00000185372,26693,no,no,yes,no,OR2V1
OR2V2,Olfactory Receptor Family 2 Subfamily V Member 2,ENSG00000182613,285659,no,no,yes,no,OR2V2
OR2W1,Olfactory Receptor Family 2 Subfamily W Member 1,ENSG00000204704,26692,no,no,yes,no,OR2W1
OR2W3,Olfactory Receptor Family 2 Subfamily W Member 3,ENSG00000238243,343171,no,no,yes,no,OR2W3
OR2Z1,Olfactory Receptor Family 2 Subfamily Z Member 1,ENSG00000181733,284383,no,no,yes,no,OR2Z1
OR3A1,Olfactory Receptor Family 3 Subfamily A Member 1,ENSG00000180090,4994,no,no,yes,no,OR3A1
OR3A2,Olfactory Receptor Family 3 Subfamily A Member 2,ENSG00000221882,4995,no,no,yes,no,OR3A2
OR3A3,Olfactory Receptor Family 3 Subfamily A Member 3,ENSG00000159961,8392,no,no,yes,no,OR3A3
OR4A16,Olfactory Receptor Family 4 Subfamily A Member 16,ENSG00000181961,81327,no,no,yes,no,OR4A16
OR4A47,Olfactory Receptor Family 4 Subfamily A Member 47,ENSG00000237388,403253,no,no,yes,no,OR4A47
OR4A5,Olfactory Receptor Family 4 Subfamily A Member 5,ENSG00000221840,81318,no,yes,yes,no,OR4A5
OR4B1,Olfactory Receptor Family 4 Subfamily B Member 1,ENSG00000175619,119765,no,no,yes,no,OR4B1
OR4C11,Olfactory Receptor Family 4 Subfamily C Member 11,ENSG00000172188,219429,no,no,yes,no,OR4C11
OR4C12,Olfactory Receptor Family 4 Subfamily C Member 12,ENSG00000221954,283093,no,no,yes,no,OR4C12
OR4C13,Olfactory Receptor Family 4 Subfamily C Member 13,ENSG00000258817,283092,no,no,yes,no,OR4C13
OR4C15,Olfactory Receptor Family 4 Subfamily C Member 15,ENSG00000181939,81309,no,no,yes,no,OR4C15
OR4C16,Olfactory Receptor Family 4 Subfamily C Member 16,ENSG00000279514,219428,no,no,yes,no,OR4C16
OR4C3,Olfactory Receptor Family 4 Subfamily C Member 3,ENSG00000176547,256144,no,no,yes,no,OR4C3
OR4C46,Olfactory Receptor Family 4 Subfamily C Member 46,ENSG00000185926,119749,no,yes,yes,no,OR4C46
OR4C5,Olfactory Receptor Family 4 Subfamily C Member 5,ENSG00000176540,79346,no,no,yes,no,OR4C5
OR4C6,Olfactory Receptor Family 4 Subfamily C Member 6,ENSG00000181903,219432,no,no,yes,no,OR4C6
OR4D1,Olfactory Receptor Family 4 Subfamily D Member 1,ENSG00000141194,26689,no,no,yes,no,OR4D1
OR4D10,Olfactory Receptor Family 4 Subfamily D Member 10,ENSG00000254466,390197,no,no,yes,no,OR4D10
OR4D11,Olfactory Receptor Family 4 Subfamily D Member 11,ENSG00000176200,219986,no,no,yes,no,OR4D11
OR4D2,Olfactory Receptor Family 4 Subfamily D Member 2,ENSG00000255713,124538,no,no,yes,no,OR4D2
OR4D5,Olfactory Receptor Family 4 Subfamily D Member 5,ENSG00000171014,219875,no,no,yes,no,OR4D5
OR4D6,Olfactory Receptor Family 4 Subfamily D Member 6,ENSG00000166884,219983,no,no,yes,no,OR4D6
OR4D9,Olfactory Receptor Family 4 Subfamily D Member 9,ENSG00000172742,390199,no,no,yes,no,OR4D9
OR4E2,Olfactory Receptor Family 4 Subfamily E Member 2,ENSG00000221977,26686,no,no,yes,no,OR4E2
OR4F15,Olfactory Receptor Family 4 Subfamily F Member 15,ENSG00000182854,390649,no,no,yes,no,OR4F15
OR4F17,Olfactory Receptor Family 4 Subfamily F Member 17,ENSG00000176695,81099,no,no,yes,no,OR4F17
OR4F5,Olfactory Receptor Family 4 Subfamily F Member 5,ENSG00000186092,79501,no,no,yes,no,OR4F5
OR4F6,Olfactory Receptor Family 4 Subfamily F Member 6,ENSG00000184140,390648,no,no,yes,no,OR4F6
OR4K1,Olfactory Receptor Family 4 Subfamily K Member 1,ENSG00000155249,79544,no,no,yes,no,OR4K1
OR4K13,Olfactory Receptor Family 4 Subfamily K Member 13,ENSG00000176253,390433,no,no,yes,no,OR4K13
OR4K14,Olfactory Receptor Family 4 Subfamily K Member 14,ENSG00000169484,122740,no,no,yes,no,OR4K14
OR4K15,Olfactory Receptor Family 4 Subfamily K Member 15,ENSG00000169488,81127,no,no,yes,no,OR4K15
OR4K17,Olfactory Receptor Family 4 Subfamily K Member 17,ENSG00000176230,390436,no,no,yes,no,OR4K17
OR4K2,Olfactory Receptor Family 4 Subfamily K Member 2,ENSG00000165762,390431,no,no,yes,no,OR4K2
OR4K5,Olfactory Receptor Family 4 Subfamily K Member 5,ENSG00000176281,79317,no,no,yes,no,OR4K5
OR4L1,Olfactory Receptor Family 4 Subfamily L Member 1,ENSG00000176246,122742,no,no,yes,no,OR4L1
OR4M1,Olfactory Receptor Family 4 Subfamily M Member 1,ENSG00000176299,441670,no,no,yes,no,OR4M1
OR4M2B,Olfactory Receptor Family 4 Subfamily M Member 2B,ENSG00000182974,118568804,no,no,yes,no,OR4M2B
OR4N2,Olfactory Receptor Family 4 Subfamily N Member 2,ENSG00000176294,390429,no,no,yes,no,OR4N2
OR4N4,Olfactory Receptor Family 4 Subfamily N Member 4,ENSG00000183706,283694,no,no,yes,no,OR4N4
OR4N5,Olfactory Receptor Family 4 Subfamily N Member 5,ENSG00000184394,390437,no,no,yes,no,OR4N5
OR4P4,Olfactory Receptor Family 4 Subfamily P Member 4,ENSG00000181927,81300,no,no,yes,no,OR4P4
OR4Q3,Olfactory Receptor Family 4 Subfamily Q Member 3,ENSG00000182652,441669,no,no,yes,no,OR4Q3
OR4S1,Olfactory Receptor Family 4 Subfamily S Member 1,ENSG00000176555,256148,no,no,yes,no,OR4S1
OR4S2,Olfactory Receptor Family 4 Subfamily S Member 2,ENSG00000174982,219431,no,no,yes,no,OR4S2
OR4X1,Olfactory Receptor Family 4 Subfamily X Member 1,ENSG00000176567,390113,no,no,yes,no,OR4X1
OR4X2,Olfactory Receptor Family 4 Subfamily X Member 2,ENSG00000172208,119764,no,no,yes,no,OR4X2
OR51A4,Olfactory Receptor Family 51 Subfamily A Member 4,ENSG00000205497,401666,no,no,yes,no,OR51A4
OR51A7,Olfactory Receptor Family 51 Subfamily A Member 7,ENSG00000176895,119687,no,no,yes,no,OR51A7
OR51B4,Olfactory Receptor Family 51 Subfamily B Member 4,ENSG00000183251,79339,no,no,yes,no,OR51B4
OR51B6,Olfactory Receptor Family 51 Subfamily B Member 6,ENSG00000176239,390058,no,no,yes,no,OR51B6
OR51D1,Olfactory Receptor Family 51 Subfamily D Member 1,ENSG00000197428,390038,no,no,yes,no,OR51D1
OR51E1,Olfactory Receptor Family 51 Subfamily E Member 1,ENSG00000180785,143503,no,no,yes,no,OR51E1
OR51E2,Olfactory Receptor Family 51 Subfamily E Member 2,ENSG00000167332,81285,no,no,yes,no,OR51E2
OR51F1,Olfactory Receptor Family 51 Subfamily F Member 1,ENSG00000280021,256892,no,no,yes,no,OR51F1
OR51F2,Olfactory Receptor Family 51 Subfamily F Member 2,ENSG00000176925,119694,no,no,yes,no,OR51F2
OR51G1,Olfactory Receptor Family 51 Subfamily G Member 1,ENSG00000278870,79324,no,no,yes,no,OR51G1
OR51G2,Olfactory Receptor Family 51 Subfamily G Member 2,ENSG00000176893,81282,no,no,yes,no,OR51G2
OR51I1,Olfactory Receptor Family 51 Subfamily I Member 1,ENSG00000167359,390063,no,no,yes,no,OR51I1
OR51I2,Olfactory Receptor Family 51 Subfamily I Member 2,ENSG00000187918,390064,no,no,yes,no,OR51I2
OR51L1,Olfactory Receptor Family 51 Subfamily L Member 1,ENSG00000176798,119682,no,no,yes,no,OR51L1
OR51M1,Olfactory Receptor Family 51 Subfamily M Member 1,ENSG00000184698,390059,no,no,yes,no,OR51M1
OR51Q1,Olfactory Receptor Family 51 Subfamily Q Member 1,ENSG00000167360,390061,no,no,yes,no,OR51Q1
OR51S1,Olfactory Receptor Family 51 Subfamily S Member 1,ENSG00000176922,119692,no,no,yes,no,OR51S1
OR51T1,Olfactory Receptor Family 51 Subfamily T Member 1,ENSG00000176900,401665,no,no,yes,no,OR51T1
OR51V1,Olfactory Receptor Family 51 Subfamily V Member 1,ENSG00000176742,283111,no,no,yes,no,OR51V1
OR52A1,Olfactory Receptor Family 52 Subfamily A Member 1,ENSG00000182070,23538,no,no,yes,no,OR52A1
OR52A5,Olfactory Receptor Family 52 Subfamily A Member 5,ENSG00000171944,390054,no,no,yes,no,OR52A5
OR52B2,Olfactory Receptor Family 52 Subfamily B Member 2,ENSG00000255307,255725,no,no,yes,no,OR52B2
OR52B4,Olfactory Receptor Family 52 Subfamily B Member 4,ENSG00000221996,143496,yes,no,yes,no,OR52B4
OR52B6,Olfactory Receptor Family 52 Subfamily B Member 6,ENSG00000187747,340980,no,no,yes,no,OR52B6
OR52D1,Olfactory Receptor Family 52 Subfamily D Member 1,ENSG00000181609,390066,yes,no,yes,no,OR52D1
OR52E2,Olfactory Receptor Family 52 Subfamily E Member 2,ENSG00000176787,119678,no,no,yes,no,OR52E2
OR52E4,Olfactory Receptor Family 52 Subfamily E Member 4,ENSG00000180974,390081,no,no,yes,no,OR52E4
OR52E6,Olfactory Receptor Family 52 Subfamily E Member 6,ENSG00000205409,390078,no,no,yes,no,OR52E6
OR52E8,Olfactory Receptor Family 52 Subfamily E Member 8,ENSG00000183269,390079,no,no,yes,no,OR52E8
OR52H1,Olfactory Receptor Family 52 Subfamily H Member 1,ENSG00000181616,390067,no,no,yes,no,OR52H1
OR52I1,Olfactory Receptor Family 52 Subfamily I Member 1,ENSG00000232268,390037,no,no,yes,no,OR52I1
OR52I2,Olfactory Receptor Family 52 Subfamily I Member 2,ENSG00000226288,143502,no,no,yes,no,OR52I2
OR52J3,Olfactory Receptor Family 52 Subfamily J Member 3,ENSG00000205495,119679,no,no,yes,no,OR52J3
OR52K1,Olfactory Receptor Family 52 Subfamily K Member 1,ENSG00000196778,390036,no,no,yes,no,OR52K1
OR52K2,Olfactory Receptor Family 52 Subfamily K Member 2,ENSG00000181963,119774,no,no,yes,no,OR52K2
OR52L1,Olfactory Receptor Family 52 Subfamily L Member 1,ENSG00000183313,338751,no,no,yes,no,OR52L1
OR52M1,Olfactory Receptor Family 52 Subfamily M Member 1,ENSG00000197790,119772,no,no,yes,no,OR52M1
OR52N1,Olfactory Receptor Family 52 Subfamily N Member 1,ENSG00000181001,79473,no,no,yes,no,OR52N1
OR52N2,Olfactory Receptor Family 52 Subfamily N Member 2,ENSG00000180988,390077,no,no,yes,no,OR52N2
OR52N4,Olfactory Receptor Family 52 Subfamily N Member 4,ENSG00000181074,390072,no,no,yes,no,OR52N4
OR52N5,Olfactory Receptor Family 52 Subfamily N Member 5,ENSG00000181009,390075,no,no,yes,no,OR52N5
